tau,baseline_entry_date,baseline_next_entry_date,from_asset,target_asset,tau_entry_date,status,delay_trading_days,baseline_window_pnl,tau_window_pnl,missed_pnl,verdict
0.0005,2014-03-26,2014-04-29,518880.SH,510300.SH,2014-03-27,delayed,1,-0.01388451862528639,-0.014759384985487789,0.0008748663602013984,wrong_missed_trend
0.0005,2014-05-09,2014-06-16,518880.SH,513100.SH,2014-05-14,delayed,3,0.07075788356319124,0.05157909102984459,0.019178792533346645,wrong_missed_trend
0.0005,2015-12-21,2015-12-28,513100.SH,159915.SZ,,blocked,5,-0.022350106159137906,-0.006721372438078577,-0.01562873372105933,correct_avoided_loss
0.0005,2015-12-28,2016-01-05,159915.SZ,510300.SH,,blocked,5,-0.0890008049685177,-0.13665201244841918,0.04765120747990148,wrong_missed_trend
0.0005,2016-01-05,2016-03-15,510300.SH,518880.SH,2016-01-08,delayed,3,0.14000992120821443,0.05367794212042365,0.08633197908779078,wrong_missed_trend
0.0005,2016-05-26,2016-06-07,518880.SH,513100.SH,2016-05-27,delayed,1,0.014201426875891654,0.005338883353760426,0.008862543522131228,wrong_missed_trend
0.0005,2016-07-12,2016-07-19,518880.SH,159915.SZ,,blocked,5,0.006761733991597518,-0.029688192170399974,0.03644992616199749,wrong_missed_trend
0.0005,2016-07-19,2016-07-26,159915.SZ,510300.SH,,blocked,5,-0.010473853942523648,-0.019337518406272625,0.008863664463748977,wrong_missed_trend
0.0005,2016-07-26,2016-08-18,510300.SH,513100.SH,2016-07-27,delayed,1,0.027809637572318247,0.04076895248813717,-0.01295931491581892,correct_avoided_loss
0.0005,2016-10-10,2016-10-17,513100.SH,518880.SH,,blocked,5,0.0020620252536220907,0.006099433245934094,-0.004037407992312003,correct_avoided_loss
0.0005,2016-10-17,2016-10-24,518880.SH,513100.SH,2016-10-18,delayed,1,-0.0043931627734363765,-0.0062289491574969436,0.001835786384060567,wrong_missed_trend
0.0005,2016-10-24,2016-11-08,513100.SH,510300.SH,2016-10-25,delayed,1,0.006576316499997015,0.008930481743697705,-0.00235416524370069,correct_avoided_loss
0.0005,2017-08-10,2017-08-17,513100.SH,518880.SH,2017-08-11,delayed,1,-0.004195669991876372,-0.030751676530424543,0.02655600653854817,wrong_missed_trend
0.0005,2017-08-17,2017-09-13,518880.SH,159915.SZ,2017-08-18,delayed,1,0.049179873275412955,0.04162848912708639,0.007551384148326568,wrong_missed_trend
0.0005,2017-09-27,2017-10-25,159915.SZ,513100.SH,2017-10-10,delayed,4,0.041919513571654354,0.040873605704782934,0.0010459078668714206,wrong_missed_trend
0.0005,2018-01-02,2018-01-09,513100.SH,510300.SH,2018-01-03,delayed,1,0.024059933641821685,0.022623897920038605,0.00143603572178308,wrong_missed_trend
0.0005,2018-01-09,2018-01-16,510300.SH,518880.SH,2018-01-10,delayed,1,0.01771902226457378,0.02648291221234822,-0.00876388994777444,correct_avoided_loss
0.0005,2018-01-16,2018-01-31,518880.SH,510300.SH,2018-01-17,delayed,1,-0.001838944856811242,-0.012033827310886647,0.010194882454075405,wrong_missed_trend
0.0005,2018-03-07,2018-04-11,513100.SH,159915.SZ,2018-03-08,delayed,1,0.022702559216366325,0.030913306088925285,-0.00821074687255896,correct_avoided_loss
0.0005,2019-07-30,2019-09-03,513100.SH,518880.SH,2019-08-09,delayed,8,0.1093745041391998,-0.0061890074214764335,0.11556351156067624,wrong_missed_trend
0.0005,2019-12-18,2019-12-25,159915.SZ,513100.SH,2019-12-24,delayed,4,0.005070179430501476,-0.03160796403976052,0.03667814347026199,wrong_missed_trend
0.0005,2019-12-25,2020-01-06,513100.SH,159915.SZ,2019-12-31,delayed,4,0.03841907932511246,0.02601987115720661,0.01239920816790585,wrong_missed_trend
0.0005,2020-01-06,2020-01-14,159915.SZ,513100.SH,,blocked,6,0.03565405621390538,0.019874473703300533,0.01577958251060485,wrong_missed_trend
0.0005,2020-01-14,2020-02-03,513100.SH,159915.SZ,2020-01-23,delayed,7,0.006328321412514937,-0.023585154379176965,0.0299134757916919,wrong_missed_trend
0.0005,2020-02-03,2020-02-20,159915.SZ,513100.SH,2020-02-07,delayed,4,0.037289795312291485,0.06456215102645735,-0.027272355714165863,correct_avoided_loss
0.0005,2020-12-15,2020-12-29,510300.SH,159915.SZ,2020-12-16,delayed,1,0.04233118073495645,0.033958136512098,0.00837304422285845,wrong_missed_trend
